year,firstday,lastday
2015,174,230
2016,134,242
2017,195,230
2018,177,218
2019,158,231
2020,162,238
2021,159,243
2022,171,219
2023,173,198
2024,186,195
2025,False,False
2026,176,224
2027,151,230
2028,140,201
2029,169,235
2030,181,222
2031,166,199
2032,175,248
2033,179,191
2034,143,195
2035,139,190
2036,149,238
2037,False,False
2038,False,False
2039,172,219
2040,173,234
2041,152,222
2042,158,213
2043,175,221
2044,151,205
2045,181,190
2046,174,214
2047,162,208
2048,168,211
2049,177,190
2050,170,210
2051,194,259
2052,171,221
2053,160,234
2054,134,201
2055,163,225
2056,137,242
2057,128,199
2058,False,False
2059,169,182
2060,179,197
2061,186,231
2062,131,236
2063,160,250
2064,183,195
2065,182,232
2066,195,218
2067,173,245
2068,177,241
2069,146,236
2070,187,271
2071,094,239
2072,178,217
2073,172,205
2074,165,255
2075,184,223
2076,False,False
2077,159,185
2078,130,251
2079,142,243
2080,189,230
2081,178,267
2082,165,257
2083,173,243
2084,203,231
2085,147,245
2086,127,189
2087,179,189
2088,False,False
2089,143,222
2090,155,217
2091,127,215
2092,143,241
2093,184,213
2094,125,330
2095,137,243
2096,144,239
2097,212,240
2098,139,213
2099,154,166
2100,179,229
