year,firstday,lastday
2015,152,246
2016,118,346
2017,123,201
2018,161,282
2019,167,299
2020,152,226
2021,150,240
2022,130,222
2023,140,279
2024,139,219
2025,139,246
2026,138,243
2027,116,243
2028,147,239
2029,161,238
2030,152,244
2031,127,243
2032,135,286
2033,132,217
2034,135,267
2035,140,240
2036,134,242
2037,117,358
2038,147,246
2039,138,242
2040,157,226
2041,145,239
2042,150,238
2043,121,243
2044,105,212
2045,160,204
2046,147,194
2047,161,239
2048,141,230
2049,160,218
2050,134,243
2051,151,214
2052,117,238
2053,152,205
2054,096,288
2055,109,243
2056,157,233
2057,219,228
2058,157,181
2059,111,198
2060,148,173
2061,148,208
2062,162,170
2063,150,224
2064,145,224
2065,129,239
2066,168,248
2067,149,282
2068,149,172
2069,098,217
2070,136,246
2071,139,239
2072,129,237
2073,141,267
2074,144,274
2075,144,273
2076,092,253
2077,121,270
2078,135,275
2079,133,271
2080,109,249
2081,151,240
2082,145,284
2083,139,255
2084,165,253
2085,149,259
2086,148,254
2087,125,278
2088,138,274
2089,143,260
2090,152,271
2091,158,258
2092,136,272
2093,095,255
2094,151,266
2095,149,250
2096,121,284
2097,103,271
2098,110,241
2099,145,260
2100,102,284
