year,firstday,lastday
2015,175,267
2016,147,267
2017,164,240
2018,183,238
2019,171,210
2020,178,251
2021,175,250
2022,161,263
2023,167,255
2024,159,277
2025,156,263
2026,151,220
2027,151,239
2028,176,255
2029,176,236
2030,174,258
2031,179,257
2032,190,237
2033,157,257
2034,191,243
2035,181,263
2036,171,268
2037,159,253
2038,161,256
2039,166,276
2040,175,256
2041,194,262
2042,164,251
2043,173,256
2044,161,221
2045,156,289
2046,169,230
2047,154,234
2048,170,276
2049,166,261
2050,156,255
2051,158,212
2052,False,False
2053,156,303
2054,165,237
2055,185,258
2056,158,287
2057,190,264
2058,154,278
2059,153,259
2060,152,258
2061,159,297
2062,186,228
2063,151,273
2064,159,271
2065,179,264
2066,153,281
2067,152,250
2068,159,268
2069,179,255
2070,155,284
2071,182,278
2072,152,270
2073,160,266
2074,142,266
2075,171,270
2076,144,258
2077,146,240
2078,183,299
2079,138,239
2080,160,268
2081,178,254
2082,154,289
2083,139,264
2084,168,254
2085,155,260
2086,155,245
2087,132,276
2088,141,274
2089,151,265
2090,164,269
2091,140,279
2092,164,278
2093,127,277
2094,130,278
2095,158,275
2096,170,267
2097,150,301
2098,156,282
2099,188,287
2100,153,290
