year,firstday,lastday
2015,097,227
2016,164,242
2017,146,250
2018,177,249
2019,162,222
2020,197,224
2021,147,197
2022,170,220
2023,180,197
2024,128,216
2025,False,False
2026,177,215
2027,146,211
2028,164,218
2029,169,221
2030,175,246
2031,198,268
2032,178,187
2033,169,249
2034,178,209
2035,145,244
2036,175,223
2037,False,False
2038,False,False
2039,130,238
2040,166,203
2041,188,222
2042,157,239
2043,184,231
2044,155,242
2045,179,197
2046,172,217
2047,165,173
2048,196,235
2049,187,250
2050,194,223
2051,221,231
2052,182,269
2053,184,248
2054,189,220
2055,188,198
2056,False,False
2057,False,False
2058,235,252
2059,161,258
2060,179,230
2061,199,238
2062,178,244
2063,184,247
2064,181,241
2065,188,223
2066,196,254
2067,178,226
2068,187,250
2069,142,221
2070,185,228
2071,148,200
2072,183,200
2073,188,200
2074,203,211
2075,186,213
2076,211,279
2077,237,246
2078,197,206
2079,164,235
2080,204,245
2081,207,217
2082,183,238
2083,188,249
2084,229,240
2085,179,230
2086,147,243
2087,214,234
2088,223,235
2089,192,268
2090,192,259
2091,180,253
2092,186,195
2093,200,222
2094,318,330
2095,141,212
2096,177,219
2097,207,220
2098,193,222
2099,210,262
2100,179,202
