year,firstday,lastday
2015,167,216
2016,190,205
2017,207,216
2018,178,186
2019,191,214
2020,189,204
2021,185,195
2022,False,False
2023,False,False
2024,202,211
2025,191,251
2026,179,207
2027,False,False
2028,False,False
2029,185,193
2030,183,192
2031,176,190
2032,168,188
2033,203,211
2034,False,False
2035,206,215
2036,146,178
2037,170,194
2038,232,241
2039,False,False
2040,False,False
2041,False,False
2042,False,False
2043,180,189
2044,False,False
2045,188,198
2046,False,False
2047,225,239
2048,176,206
2049,194,212
2050,174,224
2051,263,295
2052,186,212
2053,False,False
2054,173,204
2055,False,False
2056,False,False
2057,187,233
2058,139,271
2059,False,False
2060,215,270
2061,False,False
2062,False,False
2063,False,False
2064,170,180
2065,False,False
2066,224,234
2067,171,184
2068,189,197
2069,False,False
2070,201,209
2071,False,False
2072,173,240
2073,193,202
2074,False,False
2075,187,196
2076,False,False
2077,218,226
2078,163,222
2079,False,False
2080,163,191
2081,False,False
2082,False,False
2083,165,234
2084,False,False
2085,185,193
2086,170,192
2087,179,199
2088,False,False
2089,257,267
2090,062,214
2091,185,193
2092,253,266
2093,154,245
2094,243,252
2095,210,218
2096,False,False
2097,172,253
2098,182,192
2099,182,203
2100,False,False
