year,firstday,lastday
2015,097,234
2016,132,218
2017,134,212
2018,152,204
2019,147,212
2020,175,214
2021,145,262
2022,154,301
2023,179,265
2024,128,213
2025,152,267
2026,141,212
2027,113,264
2028,138,207
2029,168,196
2030,137,212
2031,163,263
2032,187,213
2033,103,277
2034,150,236
2035,108,202
2036,148,213
2037,144,212
2038,165,288
2039,162,287
2040,118,271
2041,152,201
2042,154,215
2043,173,286
2044,139,234
2045,167,250
2046,113,202
2047,127,230
2048,165,263
2049,137,293
2050,145,243
2051,184,223
2052,120,276
2053,153,246
2054,135,236
2055,153,261
2056,160,265
2057,118,241
2058,113,259
2059,160,239
2060,155,236
2061,106,246
2062,176,242
2063,156,241
2064,118,273
2065,166,231
2066,181,239
2067,148,237
2068,115,257
2069,141,250
2070,182,270
2071,147,241
2072,124,238
2073,120,240
2074,140,239
2075,119,238
2076,173,251
2077,143,283
2078,132,313
2079,148,280
2080,113,280
2081,143,320
2082,162,231
2083,190,244
2084,157,246
2085,149,244
2086,180,237
2087,178,240
2088,161,249
2089,131,270
2090,126,261
2091,099,244
2092,144,213
2093,148,236
2094,159,330
2095,140,244
2096,133,289
2097,182,244
2098,187,275
2099,174,223
2100,109,238
