year,firstday,lastday
2015,169,234
2016,158,245
2017,150,242
2018,156,248
2019,182,223
2020,159,225
2021,177,240
2022,169,265
2023,194,254
2024,173,228
2025,190,252
2026,177,228
2027,175,262
2028,171,205
2029,179,237
2030,166,248
2031,133,184
2032,146,264
2033,187,270
2034,161,249
2035,169,237
2036,195,244
2037,170,221
2038,118,263
2039,179,201
2040,157,195
2041,106,231
2042,185,245
2043,131,273
2044,217,270
2045,145,264
2046,173,253
2047,174,260
2048,154,229
2049,163,266
2050,160,250
2051,147,250
2052,154,269
2053,220,226
2054,163,199
2055,171,236
2056,150,260
2057,181,251
2058,172,226
2059,184,242
2060,147,261
2061,False,False
2062,167,216
2063,196,224
2064,197,221
2065,069,248
2066,091,260
2067,153,208
2068,161,261
2069,195,263
2070,190,214
2071,150,241
2072,172,261
2073,184,191
2074,182,192
2075,181,273
2076,182,250
2077,167,250
2078,170,272
2079,179,258
2080,188,227
2081,130,237
2082,158,257
2083,152,241
2084,171,273
2085,150,247
2086,193,263
2087,182,259
2088,181,258
2089,167,259
2090,167,242
2091,165,248
2092,149,246
2093,173,260
2094,024,231
2095,202,261
2096,182,254
2097,168,268
2098,162,271
2099,182,261
2100,184,237
