year,firstday,lastday
2015,167,235
2016,False,False
2017,False,False
2018,False,False
2019,182,191
2020,194,201
2021,False,False
2022,False,False
2023,162,198
2024,False,False
2025,217,226
2026,179,188
2027,181,198
2028,208,222
2029,False,False
2030,False,False
2031,134,206
2032,206,235
2033,217,223
2034,False,False
2035,197,232
2036,201,223
2037,177,185
2038,190,200
2039,210,238
2040,False,False
2041,False,False
2042,167,247
2043,187,205
2044,186,221
2045,219,225
2046,154,218
2047,False,False
2048,183,190
2049,181,241
2050,172,215
2051,False,False
2052,163,315
2053,159,224
2054,184,192
2055,164,263
2056,214,222
2057,177,265
2058,203,210
2059,False,False
2060,184,312
2061,146,206
2062,188,241
2063,154,261
2064,False,False
2065,155,225
2066,155,212
2067,161,200
2068,153,232
2069,159,164
2070,184,226
2071,159,220
2072,184,195
2073,129,134
2074,235,279
2075,155,245
2076,121,229
2077,176,181
2078,148,174
2079,159,177
2080,193,198
2081,168,255
2082,170,183
2083,175,236
2084,231,237
2085,152,245
2086,False,False
2087,152,203
2088,259,265
2089,183,190
2090,166,177
2091,172,204
2092,155,201
2093,157,191
2094,180,187
2095,183,191
2096,False,False
2097,191,255
2098,153,171
2099,142,147
2100,169,324
