year,firstday,lastday
2015,167,213
2016,187,242
2017,167,242
2018,167,173
2019,False,False
2020,160,282
2021,178,186
2022,243,249
2023,False,False
2024,217,223
2025,211,218
2026,178,219
2027,174,253
2028,174,218
2029,False,False
2030,168,210
2031,176,226
2032,152,254
2033,233,263
2034,177,229
2035,172,222
2036,False,False
2037,235,244
2038,163,226
2039,220,229
2040,157,181
2041,188,194
2042,235,245
2043,197,256
2044,264,271
2045,145,243
2046,False,False
2047,185,212
2048,236,244
2049,180,275
2050,197,260
2051,186,259
2052,225,268
2053,False,False
2054,False,False
2055,175,258
2056,192,201
2057,182,227
2058,174,226
2059,184,226
2060,166,222
2061,271,277
2062,166,247
2063,207,215
2064,192,198
2065,175,241
2066,209,284
2067,False,False
2068,167,245
2069,206,257
2070,192,271
2071,227,233
2072,188,211
2073,264,272
2074,182,192
2075,181,273
2076,164,214
2077,False,False
2078,268,274
2079,256,262
2080,204,211
2081,False,False
2082,163,241
2083,False,False
2084,177,246
2085,268,275
2086,246,255
2087,203,240
2088,199,228
2089,176,254
2090,223,229
2091,228,237
2092,189,277
2093,214,220
2094,False,False
2095,205,212
2096,215,283
2097,162,201
2098,189,199
2099,False,False
2100,False,False
