year,firstday,lastday
2015,193,276
2016,178,268
2017,133,249
2018,174,281
2019,046,258
2020,175,261
2021,165,258
2022,186,259
2023,120,261
2024,134,279
2025,158,288
2026,167,280
2027,131,345
2028,183,274
2029,139,265
2030,184,261
2031,182,322
2032,170,275
2033,142,285
2034,146,267
2035,133,275
2036,185,329
2037,180,323
2038,144,239
2039,135,212
2040,181,268
2041,183,248
2042,124,307
2043,145,333
2044,143,291
2045,136,252
2046,178,253
2047,169,282
2048,136,294
2049,146,284
2050,182,261
2051,159,269
2052,125,267
2053,179,274
2054,179,277
2055,153,240
2056,151,276
2057,134,267
2058,166,276
2059,167,268
2060,180,330
2061,171,271
2062,117,265
2063,119,271
2064,156,273
2065,128,273
2066,157,260
2067,173,331
2068,151,277
2069,138,274
2070,155,294
2071,175,279
2072,143,300
2073,141,255
2074,152,271
2075,125,289
2076,164,267
2077,152,278
2078,131,278
2079,156,267
2080,132,270
2081,181,250
2082,138,276
2083,130,302
2084,150,304
2085,118,263
2086,139,273
2087,131,275
2088,151,281
2089,136,315
2090,126,294
2091,146,259
2092,147,330
2093,156,293
2094,149,262
2095,160,292
2096,130,297
2097,134,290
2098,131,284
2099,144,292
2100,147,263
