year,firstday,lastday
2015,151,241
2016,149,205
2017,False,False
2018,157,213
2019,162,217
2020,117,249
2021,166,176
2022,267,277
2023,119,228
2024,145,241
2025,123,208
2026,124,224
2027,162,183
2028,160,173
2029,118,266
2030,154,191
2031,172,202
2032,144,256
2033,150,164
2034,134,211
2035,101,195
2036,158,242
2037,109,259
2038,False,False
2039,134,241
2040,099,169
2041,155,190
2042,138,242
2043,132,226
2044,140,184
2045,143,210
2046,151,204
2047,136,270
2048,136,209
2049,140,231
2050,174,250
2051,129,213
2052,171,207
2053,134,273
2054,189,262
2055,149,194
2056,123,240
2057,157,216
2058,169,257
2059,162,210
2060,120,189
2061,120,169
2062,144,189
2063,153,215
2064,093,266
2065,260,272
2066,124,210
2067,167,205
2068,129,289
2069,155,208
2070,130,258
2071,180,201
2072,195,268
2073,149,215
2074,179,218
2075,182,214
2076,165,275
2077,199,229
2078,150,217
2079,134,214
2080,156,205
2081,174,254
2082,106,254
2083,096,212
2084,164,274
2085,157,204
2086,187,257
2087,133,215
2088,120,269
2089,152,266
2090,143,284
2091,116,215
2092,169,263
2093,200,218
2094,138,210
2095,143,263
2096,077,360
2097,128,187
2098,148,172
2099,183,288
2100,153,266
