year,firstday,lastday
2015,False,False
2016,169,187
2017,180,190
2018,169,204
2019,172,204
2020,163,201
2021,146,221
2022,154,192
2023,161,206
2024,229,246
2025,173,205
2026,177,202
2027,155,199
2028,153,200
2029,False,False
2030,197,243
2031,123,201
2032,182,208
2033,212,228
2034,200,233
2035,False,False
2036,154,207
2037,202,220
2038,155,194
2039,False,False
2040,177,237
2041,178,198
2042,168,223
2043,130,168
2044,181,195
2045,155,213
2046,182,215
2047,139,195
2048,197,213
2049,False,False
2050,False,False
2051,175,201
2052,197,213
2053,177,200
2054,166,225
2055,False,False
2056,160,296
2057,170,187
2058,151,196
2059,False,False
2060,161,209
2061,166,235
2062,136,150
2063,False,False
2064,148,241
2065,180,210
2066,False,False
2067,167,177
2068,126,220
2069,157,170
2070,182,205
2071,130,185
2072,153,243
2073,164,223
2074,False,False
2075,148,162
2076,184,206
2077,164,217
2078,207,218
2079,207,217
2080,178,195
2081,142,227
2082,189,252
2083,224,235
2084,179,189
2085,False,False
2086,246,262
2087,False,False
2088,140,207
2089,211,236
2090,201,212
2091,197,248
2092,151,161
2093,False,False
2094,178,273
2095,False,False
2096,170,196
2097,222,233
2098,202,222
2099,False,False
2100,False,False
