year,firstday,lastday
2015,187,244
2016,182,201
2017,184,241
2018,157,177
2019,179,214
2020,163,226
2021,188,226
2022,187,200
2023,146,201
2024,190,245
2025,195,248
2026,179,193
2027,178,198
2028,169,227
2029,265,275
2030,166,243
2031,149,159
2032,191,253
2033,183,213
2034,182,194
2035,156,194
2036,False,False
2037,184,245
2038,False,False
2039,169,232
2040,186,230
2041,183,240
2042,187,201
2043,False,False
2044,183,257
2045,213,242
2046,False,False
2047,135,209
2048,165,268
2049,179,257
2050,163,213
2051,137,156
2052,197,235
2053,234,265
2054,151,161
2055,130,245
2056,230,241
2057,181,234
2058,139,234
2059,139,244
2060,167,221
2061,206,216
2062,181,224
2063,189,201
2064,243,258
2065,198,224
2066,183,241
2067,195,256
2068,False,False
2069,False,False
2070,190,213
2071,False,False
2072,142,208
2073,201,211
2074,181,250
2075,173,261
2076,188,240
2077,226,236
2078,177,255
2079,172,252
2080,139,206
2081,135,253
2082,193,230
2083,121,132
2084,211,223
2085,184,197
2086,189,254
2087,185,240
2088,144,154
2089,198,250
2090,220,255
2091,183,197
2092,177,190
2093,168,208
2094,193,229
2095,142,237
2096,171,241
2097,154,260
2098,206,218
2099,False,False
2100,196,213
