year,firstday,lastday
2015,175,267
2016,183,267
2017,164,240
2018,183,238
2019,171,210
2020,188,251
2021,175,250
2022,161,263
2023,194,255
2024,170,277
2025,156,263
2026,171,210
2027,151,239
2028,176,229
2029,194,236
2030,174,258
2031,179,257
2032,190,226
2033,182,257
2034,191,231
2035,181,263
2036,182,268
2037,182,253
2038,171,256
2039,166,276
2040,175,256
2041,194,262
2042,164,241
2043,173,256
2044,161,221
2045,156,257
2046,179,230
2047,154,234
2048,170,276
2049,166,223
2050,156,255
2051,158,212
2052,False,False
2053,156,257
2054,165,237
2055,203,258
2056,158,287
2057,190,264
2058,173,278
2059,153,259
2060,172,258
2061,176,270
2062,186,228
2063,172,273
2064,159,271
2065,179,264
2066,153,281
2067,152,222
2068,159,268
2069,179,245
2070,155,249
2071,209,240
2072,152,243
2073,160,266
2074,190,266
2075,171,237
2076,178,244
2077,170,223
2078,183,299
2079,171,239
2080,182,268
2081,178,254
2082,154,289
2083,195,264
2084,168,254
2085,178,209
2086,170,245
2087,132,276
2088,141,274
2089,151,265
2090,164,269
2091,140,217
2092,164,278
2093,137,266
2094,172,278
2095,158,265
2096,170,251
2097,150,251
2098,166,282
2099,188,272
2100,153,290
