year,firstday,lastday
2015,187,244
2016,128,241
2017,132,241
2018,157,177
2019,179,354
2020,138,226
2021,188,226
2022,187,252
2023,137,232
2024,190,245
2025,180,248
2026,179,229
2027,178,224
2028,169,227
2029,152,275
2030,166,243
2031,149,354
2032,172,253
2033,119,239
2034,151,242
2035,156,205
2036,False,False
2037,184,245
2038,166,173
2039,169,232
2040,186,230
2041,174,256
2042,169,263
2043,178,241
2044,183,257
2045,213,242
2046,216,261
2047,135,209
2048,165,268
2049,179,257
2050,135,265
2051,137,258
2052,167,235
2053,201,265
2054,151,226
2055,130,269
2056,138,261
2057,181,259
2058,126,244
2059,139,244
2060,167,238
2061,206,239
2062,181,253
2063,102,217
2064,208,258
2065,114,234
2066,183,241
2067,195,256
2068,132,245
2069,234,243
2070,190,213
2071,145,152
2072,142,238
2073,201,270
2074,153,260
2075,173,261
2076,126,240
2077,128,236
2078,147,255
2079,122,252
2080,139,206
2081,135,253
2082,144,230
2083,121,262
2084,177,269
2085,142,231
2086,178,254
2087,132,265
2088,144,180
2089,178,362
2090,153,255
2091,183,263
2092,177,251
2093,124,253
2094,193,229
2095,142,258
2096,125,241
2097,154,260
2098,126,218
2099,172,260
2100,124,213
