year,firstday,lastday
2015,169,199
2016,158,245
2017,150,242
2018,163,248
2019,False,False
2020,159,209
2021,177,224
2022,177,237
2023,194,246
2024,194,228
2025,190,252
2026,177,228
2027,201,262
2028,171,205
2029,179,237
2030,166,239
2031,133,184
2032,190,198
2033,199,263
2034,171,249
2035,169,210
2036,237,244
2037,170,221
2038,162,247
2039,179,201
2040,157,195
2041,203,231
2042,False,False
2043,184,273
2044,217,226
2045,182,264
2046,187,213
2047,174,260
2048,222,229
2049,163,235
2050,160,228
2051,147,250
2052,193,230
2053,False,False
2054,163,199
2055,171,236
2056,185,235
2057,181,251
2058,179,214
2059,184,242
2060,157,203
2061,False,False
2062,175,208
2063,203,211
2064,197,204
2065,069,240
2066,185,260
2067,153,208
2068,161,261
2069,206,263
2070,190,201
2071,150,241
2072,172,246
2073,184,191
2074,182,192
2075,237,273
2076,182,236
2077,239,250
2078,170,272
2079,179,258
2080,188,227
2081,205,237
2082,181,248
2083,152,241
2084,178,265
2085,150,247
2086,247,263
2087,182,243
2088,198,258
2089,198,259
2090,167,242
2091,188,232
2092,149,238
2093,173,260
2094,185,208
2095,202,261
2096,182,254
2097,168,268
2098,162,249
2099,182,239
2100,184,230
