year,firstday,lastday
2015,170,266
2016,False,False
2017,False,False
2018,False,False
2019,183,256
2020,217,226
2021,False,False
2022,226,236
2023,171,272
2024,178,223
2025,211,243
2026,254,265
2027,182,205
2028,173,249
2029,False,False
2030,182,191
2031,163,192
2032,195,238
2033,175,217
2034,100,243
2035,False,False
2036,False,False
2037,172,183
2038,211,222
2039,191,206
2040,157,166
2041,213,222
2042,165,245
2043,177,240
2044,183,242
2045,197,226
2046,172,211
2047,230,239
2048,174,240
2049,172,193
2050,168,246
2051,213,230
2052,168,243
2053,222,233
2054,183,208
2055,163,191
2056,198,208
2057,176,186
2058,174,241
2059,179,239
2060,195,209
2061,164,186
2062,186,228
2063,160,212
2064,False,False
2065,157,261
2066,183,248
2067,162,245
2068,168,181
2069,198,209
2070,179,236
2071,163,206
2072,181,197
2073,False,False
2074,178,245
2075,176,229
2076,165,226
2077,163,207
2078,187,198
2079,188,197
2080,177,192
2081,False,False
2082,172,239
2083,165,263
2084,False,False
2085,185,199
2086,174,242
2087,166,200
2088,False,False
2089,174,200
2090,162,268
2091,181,271
2092,163,257
2093,172,194
2094,175,250
2095,182,239
2096,180,230
2097,160,262
2098,163,241
2099,186,208
2100,183,257
