year,firstday,lastday
2015,169,199
2016,158,230
2017,164,242
2018,163,248
2019,False,False
2020,159,209
2021,177,224
2022,177,213
2023,214,246
2024,194,228
2025,243,252
2026,177,189
2027,253,262
2028,171,205
2029,179,197
2030,176,197
2031,133,184
2032,False,False
2033,199,263
2034,171,229
2035,169,195
2036,False,False
2037,170,204
2038,178,230
2039,179,191
2040,157,195
2041,203,231
2042,False,False
2043,184,257
2044,217,226
2045,182,264
2046,187,213
2047,247,260
2048,False,False
2049,163,235
2050,160,228
2051,182,198
2052,193,203
2053,False,False
2054,163,199
2055,181,203
2056,185,235
2057,181,220
2058,179,189
2059,184,242
2060,157,203
2061,False,False
2062,175,208
2063,False,False
2064,False,False
2065,171,227
2066,185,260
2067,180,208
2068,161,252
2069,206,263
2070,190,201
2071,150,241
2072,172,199
2073,False,False
2074,182,192
2075,False,False
2076,182,210
2077,239,250
2078,170,272
2079,179,258
2080,188,227
2081,205,217
2082,181,248
2083,188,197
2084,223,265
2085,False,False
2086,False,False
2087,182,243
2088,198,209
2089,198,215
2090,177,242
2091,188,232
2092,186,238
2093,173,199
2094,False,False
2095,202,261
2096,182,254
2097,168,205
2098,162,209
2099,205,239
2100,184,230
