year,firstday,lastday
2015,170,226
2016,159,251
2017,165,247
2018,160,235
2019,137,225
2020,162,198
2021,177,238
2022,177,240
2023,206,248
2024,201,229
2025,False,False
2026,178,224
2027,252,262
2028,179,199
2029,179,190
2030,173,256
2031,False,False
2032,172,182
2033,239,248
2034,175,266
2035,169,273
2036,False,False
2037,False,False
2038,177,267
2039,179,196
2040,156,184
2041,185,216
2042,203,247
2043,173,258
2044,173,182
2045,192,264
2046,188,257
2047,173,245
2048,190,229
2049,161,206
2050,165,207
2051,181,259
2052,195,269
2053,False,False
2054,187,203
2055,171,191
2056,185,222
2057,182,259
2058,131,231
2059,194,228
2060,163,181
2061,False,False
2062,164,206
2063,190,251
2064,188,205
2065,172,245
2066,157,264
2067,178,196
2068,161,270
2069,False,False
2070,195,206
2071,164,240
2072,177,245
2073,False,False
2074,False,False
2075,180,245
2076,182,209
2077,239,250
2078,170,227
2079,233,242
2080,184,225
2081,206,244
2082,176,261
2083,187,218
2084,176,186
2085,222,239
2086,234,258
2087,184,229
2088,194,210
2089,196,252
2090,176,242
2091,False,False
2092,169,237
2093,173,260
2094,False,False
2095,168,215
2096,182,251
2097,168,244
2098,185,249
2099,207,218
2100,181,229
