year,firstday,lastday
2015,192,244
2016,176,255
2017,137,242
2018,175,239
2019,184,209
2020,171,250
2021,125,236
2022,192,261
2023,181,261
2024,183,279
2025,193,242
2026,182,249
2027,133,241
2028,171,249
2029,230,246
2030,190,260
2031,182,266
2032,124,274
2033,142,272
2034,175,266
2035,121,221
2036,186,265
2037,180,252
2038,False,False
2039,136,212
2040,185,263
2041,183,254
2042,124,255
2043,182,288
2044,163,273
2045,219,252
2046,177,253
2047,179,282
2048,195,251
2049,146,275
2050,162,233
2051,153,223
2052,125,267
2053,190,283
2054,171,282
2055,153,280
2056,140,276
2057,134,267
2058,162,274
2059,167,268
2060,180,274
2061,171,271
2062,171,265
2063,163,271
2064,153,259
2065,157,244
2066,153,240
2067,162,275
2068,186,239
2069,138,274
2070,186,257
2071,174,249
2072,141,241
2073,182,255
2074,180,271
2075,125,289
2076,147,239
2077,152,279
2078,182,278
2079,179,215
2080,161,270
2081,181,250
2082,135,276
2083,171,302
2084,145,304
2085,118,248
2086,139,220
2087,146,275
2088,149,281
2089,129,234
2090,162,294
2091,142,251
2092,146,265
2093,161,293
2094,188,263
2095,160,292
2096,145,297
2097,172,293
2098,131,218
2099,137,249
2100,182,263
