year,firstday,lastday
2015,143,194
2016,130,193
2017,209,218
2018,169,246
2019,137,246
2020,False,False
2021,152,206
2022,148,245
2023,164,197
2024,122,219
2025,140,244
2026,False,False
2027,170,205
2028,150,208
2029,137,266
2030,229,241
2031,185,194
2032,157,232
2033,198,207
2034,147,204
2035,202,222
2036,127,233
2037,137,248
2038,164,243
2039,197,247
2040,130,140
2041,131,219
2042,146,158
2043,131,197
2044,116,126
2045,188,226
2046,170,185
2047,137,211
2048,179,200
2049,158,168
2050,189,219
2051,False,False
2052,158,168
2053,139,267
2054,123,246
2055,190,226
2056,170,199
2057,185,215
2058,199,248
2059,155,251
2060,124,216
2061,206,263
2062,177,256
2063,172,182
2064,193,236
2065,197,236
2066,176,216
2067,179,192
2068,172,191
2069,181,197
2070,169,255
2071,125,255
2072,172,267
2073,209,235
2074,126,229
2075,134,283
2076,126,260
2077,125,254
2078,166,216
2079,176,210
2080,181,201
2081,165,212
2082,False,False
2083,144,261
2084,122,246
2085,173,264
2086,139,264
2087,167,253
2088,186,201
2089,False,False
2090,161,251
2091,164,266
2092,132,270
2093,182,255
2094,169,196
2095,177,247
2096,207,275
2097,189,199
2098,165,201
2099,190,207
2100,117,214
